H,alpha,P,C,R,G,F
10,55,41,36.94468636,0,17,2.48
10,48,31,25.53657631,0.2,17,1.644
10,42.3,39,46.15768989,0.3,19,2.497
10,37.6,29,8.868944823,0.5,16,0.786
10,33.7,47,34.31579872,0.2,16,3.381
10,30.5,38,21.09471192,0,18,2.758
10,27.8,48,26.65470036,0.2,16,3.551
10,25.5,47,45.57567018,0,17,5.237
12,27.6,28,30.3074376,0.7,19,2.306
12,25.6,23,18.33731206,0.5,18,1.207
15,65,17,8.254728399,0.2,18,0.338
15,59,29,19.95512585,0.3,16,0.79
15,53.7,22,32.72612429,0.2,18,1.114
15,49.1,18,24.85635676,0.3,17,0.906
15,45,50,30.38971661,0.4,17,1.611
15,38.3,19,16.52772544,0.3,16,0.903
15,35.5,46,26.406023,0.3,17,2.042
15,33.1,35,18.90560353,0.2,18,1.659
15,31,16,24.51673048,0.1,19,1.273
15,29.1,26,29.26395531,0.1,16,2.041
15,27.3,37,48.03907069,0.5,17,2.366
15,25.8,32,23.90125271,0,17,2.48
18,28.6,30,33.25537551,0,16,2.382
18,27.2,38,25.3136543,0.1,18,2.403
20,68.2,26,27.80075755,0.4,19,0.427
20,63.4,42,32.41454559,0.4,18,0.683
20,59,12,18.06730774,0.3,17,0.433
20,51.3,31,32.44647343,0.4,18,0.882
20,48,38,25.00114005,0.3,16,1.137
20,45,38,53.1274226,0.4,17,1.703
20,42.3,47,36.46053614,0.5,17,1.335
20,39.8,32,22.49529667,0.2,18,1.245
20,37.6,39,38.86963359,0.3,16,1.874
20,35.5,40,45.31138008,0.4,18,1.818
20,33.7,48,37.7608255,0.3,17,2.324
20,32,17,34.85329769,0.4,19,1.053
20,30.5,39,46.15768989,0.2,19,2.41
20,29.1,25,23.78169057,0.2,17,1.439
25,68.2,45,40,0.3,16,0.747
25,64.4,21,38.3864035,0.3,16,0.872
25,60.8,17,12.99355396,0,17,0.576
25,57.4,39,36.44028149,0.3,18,0.916
25,54.2,34,26.98034067,0.2,16,0.981
25,51.3,28,25.256198,0.1,19,0.932
25,46.2,13,24.52974531,0.4,17,0.565
25,43.9,29,44.34472412,0,16,1.686
25,41.8,27,22.92864523,0.3,18,0.863
25,39.8,16,11.46981543,0.3,16,0.508
25,38,37,48.03907069,0.1,17,2.053
25,36.3,29,49.88781463,0.4,18,1.384
25,34.8,29,47.11626937,0.1,17,1.867
25,33.3,28,45.19530169,0.1,17,1.826
25,32,35,44.63823056,0.4,17,1.642
25,30.8,44,43.45599487,0.3,18,2.172
25,29.6,14,26.4911003,0.2,17,0.966
25,28.5,13,20.7781372,0.1,18,0.887
25,27.5,25,20.98384462,0.3,18,1.243
30,68.2,21,20.72865789,0.1,18,0.474
30,61.9,49,55.21768355,0,16,1.874
30,59,47,30.56250824,0.5,19,0.388
30,56.3,34,48.56461321,0.2,16,1.158
30,53.7,18,37.04084537,0.4,19,0.555
30,51.3,38,42.18942383,0.1,18,1.368
30,49.1,49,31.05994699,0.3,18,1.142
30,47,21,31.09298684,0.2,18,0.795
30,45,12,32.52115394,0.4,17,0.585
30,43.2,15,12.86156124,0.3,16,0.439
30,41.4,37,42.95258086,0.2,19,1.453
30,39.8,27,48.91444315,0.5,16,1.054
30,38.3,33,49.09521405,0.2,18,1.555
30,36.9,41,44.33362363,0.2,17,1.815
35,68.2,15,33.76159825,0.4,18,0.353
35,64.1,50,35.45466938,0.1,17,1.144
35,60.3,20,21.65622894,0.1,17,0.529
35,53.4,45,31.5,0.4,18,0.675
35,50.4,19,45.79557257,0.2,19,0.782
35,47.6,33,40.91267837,0.2,18,1.094
35,45,49,34.22346011,0.2,17,1.541
35,42.6,47,33.77961437,0.3,18,1.317
35,40.5,38,24.61049723,0.2,18,1.183
35,38.5,36,43.22928042,0.3,17,1.334
35,36.7,10,11.10859978,0.4,18,0.302
35,35,38,49.22099447,0.3,18,1.577
35,33.4,41,51.7225609,0.5,17,1.394
35,32,39,53.85063821,0.1,19,2.179
40,68.2,37,27.1279458,0.1,18,0.645
40,63.4,45,32,0.3,16,0.575
40,59,28,38.28307908,0.3,18,0.578
40,55,21,43.76049999,0.4,19,0.538
40,51.3,40,28.52938746,0.2,17,0.935
40,48,26,37.06767673,0.1,19,0.914
40,45,33,46.75734671,0.3,18,1.012
40,42.3,24,33.83738008,0.4,19,0.645
40,39.8,37,54.25589161,0,18,1.846
40,37.6,33,49.35497708,0.2,19,1.361
40,35.5,46,37.2790913,0.2,18,1.803
40,33.7,31,40.85852209,0.2,17,1.396
40,32,27,36.68583236,0.3,18,1.117
40,30.5,28,38.28307908,0,18,1.63
40,29.1,35,47.6141126,0,17,2.248
